hospital_id,hem_reference_no,hospital_name,hospital_parent_type,hospital_type,hospital_sub_type,establishment_year,state_name,state_code,district_name,division_name,block_name,pincode,geo_latitude,geo_longitude,org_head_name,org_head_contact,contact_email,accreditation_board,accreditation_level,accreditation_valid_upto,delisted_from_gov_schemes,total_bed_strength,inpatient_beds,has_fully_equipped_ot,has_icu_with_ac,has_casualty,has_opd,has_hdu,has_general_ward,has_labour_room,created_at,updated_at
d31b4920-2059-47f5-83ab-ae5df3b24e6b,UPHOSPREF000011,Women Hospital Ambedkar Nagar,Single,PUBLIC,Medical College,1950,Uttar Pradesh,UP,Ambedkar Nagar,Ayodhya,Ambedkar Block 1,213806,29.891353,79.697008,DR. MANOJ KUMAR,7029276726,hospital11@gov.up.in,,PRE,,False,19,17,False,False,False,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
2621e5d6-3fdd-4caa-b8a8-df10690bbe49,UPHOSPREF000012,Krishna Heart Institute,Single,PRIVATE,Private,2005,Uttar Pradesh,UP,Ambedkar Nagar,Ayodhya,Ambedkar Block 4,276304,23.865113,77.325637,DR. RAMU KAKA PASI,7949678384,hospital12@pvt.up.in,NABH,PRE,,False,261,210,True,False,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
95f235be-b1f5-44dd-bd72-e4ff493eed15,UPHOSPREF000013,Women Hospital Kaushambi,Single,PUBLIC,Medical College,1970,Uttar Pradesh,UP,Kaushambi,Prayagraj,Kaushambi Block 6,297633,30.212467,84.420727,DR. SURESH KUMAR,7050655904,hospital13@gov.up.in,JCI,,2027-10-15,False,19,17,False,False,False,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
24267565-7dcb-4f3b-b6cd-1c0f075379c0,UPHOSPREF000014,Dr. Tiwari Cancer Institute,Single,PRIVATE,Trust,2003,Uttar Pradesh,UP,Varanasi,Varanasi,Harhua,287995,26.667715,78.840911,DR. HARI OM,9444181476,hospital14@pvt.up.in,NABH,FULL,2030-09-17,False,67,49,False,False,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
c278f54d-0390-47b6-bda2-b51aec673c31,UPHOSPREF000015,Dr. Mishra Children Hospital,Single,PRIVATE,NGO,2021,Uttar Pradesh,UP,Aligarh,Aligarh,Jawan,203579,30.14733,78.622589,DR. RAJU YADAV,7081007592,hospital15@pvt.up.in,NABL,PRE,2029-08-08,False,224,207,True,True,True,True,False,True,False,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
e7843a89-5bc2-4ede-aeb9-fd6e59d9481b,UPHOSPREF000016,Ram Maternity & General Hospital,Single,PRIVATE,Trust,1994,Uttar Pradesh,UP,Chitrakoot,Chitrakoot,Chitrakoot Block 5,287944,27.039252,80.691641,DR. SURESH KUMAR,7809154519,hospital16@pvt.up.in,NABH,PRE,2027-05-11,False,122,108,True,True,True,True,True,True,False,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
9878f087-5008-4e9a-91db-118ffc6d2f1e,UPHOSPREF000017,Verma & Tiwari Maternity & General Hospital,Single,PRIVATE,Trust,2003,Uttar Pradesh,UP,Aligarh,Aligarh,Bijauli,203055,26.753325,80.682625,DR. BABLU KUMAR PATEL,8082202460,hospital17@pvt.up.in,JCI,PRE,,False,201,169,True,True,True,True,True,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
485db366-f036-4f19-ad67-c51b84a49903,UPHOSPREF000018,Zonal Hospital Bijnor,Single,PUBLIC,PHC,1978,Uttar Pradesh,UP,Bijnor,Moradabad,Bijnor Block 4,249245,25.885978,83.974159,DR. VIVEK KUMAR,8176439765,hospital18@gov.up.in,NABL,FULL,,False,139,116,False,True,True,True,True,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
973c72b6-a78b-45a8-b525-868353af84ea,UPHOSPREF000019,Trauma Centre Basti Block 7,Single,PUBLIC,CHC,1988,Uttar Pradesh,UP,Basti,Basti,Basti Block 7,257366,25.772907,79.962784,DR. RAKESH KUMAR,9863232770,hospital19@gov.up.in,NABL,FULL,,False,61,45,True,True,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
058fe129-afd7-4499-9973-cdcad110e8a3,UPHOSPREF000020,Medical College Hospital Deoria,Single,PUBLIC,CHC,1989,Uttar Pradesh,UP,Deoria,Gorakhpur,Deoria Block 8,200298,29.682558,82.237308,DR. VIVEK KUMAR,9421855514,hospital20@gov.up.in,NABL,,,False,7,6,False,False,False,True,False,False,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
7517a147-10ac-4547-a6e5-398e0aec8db6,UPHOSPREF000021,Ganesh Hospital & Research Centre,Single,PRIVATE,Trust,2004,Uttar Pradesh,UP,Bulandshahr,Meerut,Bulandshahr Block 3,284315,29.398558,82.928428,DR. BRIJESH KUMAR,9663219098,hospital21@pvt.up.in,,FULL,2030-02-13,False,235,200,True,True,True,True,True,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
be9655cd-9695-463d-a93c-4ee77f4c34e6,UPHOSPREF000022,Trauma Centre Gosainganj,Single,PUBLIC,District Hospital,1977,Uttar Pradesh,UP,Lucknow,Lucknow,Gosainganj,228503,28.952847,83.108235,DR. SURESH KUMAR,7915141793,hospital22@gov.up.in,NABL,PRE,,False,43,40,False,False,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
91f99c76-03d3-4e2a-82f0-e10b815f00b9,UPHOSPREF000023,Agarwal & Mishra Orthopaedic Centre,Single,PRIVATE,Private,2000,Uttar Pradesh,UP,Gorakhpur,Gorakhpur,Bansgaon,282983,29.636384,77.902274,DR. RAVINDRA NATH,9733428733,hospital23@pvt.up.in,NABH,FULL,2027-05-19,False,75,57,False,False,True,True,False,True,False,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
20439481-0474-4d67-b71e-4556ab11eec7,UPHOSPREF000024,Medical College Hospital Etawah,Single,PUBLIC,District Hospital,1953,Uttar Pradesh,UP,Etawah,Kanpur,Etawah Block 6,236913,24.083561,84.127437,DR. SURESH KUMAR MISHRA,7068398252,hospital24@gov.up.in,NABH,FULL,2028-10-03,False,88,79,True,True,True,True,True,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
f42e3415-07e8-4f42-8fde-494bab346766,UPHOSPREF000025,Medical College Hospital Badaun,Single,PUBLIC,Civil Hospital,1955,Uttar Pradesh,UP,Badaun,Bareilly,Badaun Block 3,269471,27.899481,79.998317,DR. RAVI SHANKAR,7975527730,hospital25@gov.up.in,JCI,,,False,99,80,True,False,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
824bb4d8-1753-491b-b8c1-0e2edc738286,UPHOSPREF000026,Mishra & Srivastava Medical Centre,Single,PRIVATE,Private,2001,Uttar Pradesh,UP,Maharajganj,Gorakhpur,Maharajganj Block 3,297136,28.626831,79.468266,DR. SUSHIL KUMAR,7632246729,hospital26@pvt.up.in,,,2028-03-23,False,157,144,True,False,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
f9cf7cc9-66f4-4e4d-9eb2-c42e95a2cf4d,UPHOSPREF000027,Combined Hospital Muzaffarnagar,Single,PUBLIC,PHC,1957,Uttar Pradesh,UP,Muzaffarnagar,Saharanpur,Muzaffarnagar Block 1,275113,30.085237,78.579685,DR. RAJEEV KUMAR,9572919099,hospital27@gov.up.in,NABH,FULL,,False,254,226,True,True,True,True,True,True,False,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
a4af1771-116a-403f-976a-2598d16ab6d5,UPHOSPREF000028,Saraswati Hospital & Research Centre,Single,PRIVATE,Private,2015,Uttar Pradesh,UP,Hathras,Aligarh,Hathras Block 1,278283,29.725963,79.731043,DR. PAPPU YADAV,9765558263,hospital28@pvt.up.in,NABL,PRE,,False,196,138,True,False,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
383efd30-cbe2-4006-a0d0-f5e8d18e4a7e,UPHOSPREF000029,Verma & Pandey Cancer Institute,Single,PRIVATE,Private,2014,Uttar Pradesh,UP,Jaunpur,Varanasi,Jaunpur Block 2,286928,23.717183,80.542905,DR. JAGDISH PRASAD,8075259677,hospital29@pvt.up.in,NABH,PRE,2026-11-27,False,257,225,True,True,True,True,True,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
beab9dec-94ad-4cb1-95ca-dde775efb204,UPHOSPREF000030,Urban Community Health Centre Ballia Block 6,Single,PUBLIC,Medical College,1979,Uttar Pradesh,UP,Ballia,Azamgarh,Ballia Block 6,265184,24.351237,77.145324,DR. MUKESH KUMAR,9727328711,hospital30@gov.up.in,NABH,PRE,,False,109,93,False,True,True,True,True,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
7edeb341-4f12-4e75-b43e-a189b9d38f28,UPHOSPREF000031,Dr. Srivastava Heart Institute,Single,PRIVATE,Trust,2021,Uttar Pradesh,UP,Shahjahanpur,Bareilly,Shahjahanpur Block 8,212912,27.135169,80.421611,DR. ROHIT KUMAR KUMAR,9702495939,hospital31@pvt.up.in,NABL,FULL,,False,201,167,True,True,True,True,True,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
cbbb28b2-f37d-43a6-a2a5-fc6e95c2e9df,UPHOSPREF000032,Shiv Nursing Home,Single,PRIVATE,Private,2001,Uttar Pradesh,UP,Jaunpur,Varanasi,Jaunpur Block 7,203380,23.649722,84.477289,DR. ROHIT KUMAR MAURYA,9508794774,hospital32@pvt.up.in,NABL,FULL,2028-09-24,False,32,23,True,False,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
6370ad26-6d44-4337-9ee9-dd0dc9f87a18,UPHOSPREF000033,Combined Hospital Rampur,Single,PUBLIC,Civil Hospital,1991,Uttar Pradesh,UP,Rampur,Moradabad,Rampur Block 7,266827,27.144008,82.716086,DR. HARI OM,7043112510,hospital33@gov.up.in,,FULL,,False,7,6,False,False,False,True,False,False,False,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
d99ed17c-5b07-41ee-926d-ee4d1a0db132,UPHOSPREF000034,Shiv Nursing Home,Single,PRIVATE,Private,2007,Uttar Pradesh,UP,Etah,Aligarh,Etah Block 3,233803,24.750665,81.687607,DR. LAKHAN LAL,7035336162,hospital34@pvt.up.in,NABL,PRE,,False,169,123,True,False,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
b3131489-f06b-425d-9ccd-467eb7e1d542,UPHOSPREF000035,Pandey & Mishra Hospital & Research Centre,Single,PRIVATE,Private,2015,Uttar Pradesh,UP,Sambhal,Moradabad,Sambhal Block 2,249005,29.467542,79.747112,DR. RAJEEV KUMAR,7895432102,hospital35@pvt.up.in,NABH,FULL,2026-12-02,False,125,92,True,True,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
92a4daba-b6b6-45e5-9f77-f852770dcb99,UPHOSPREF000036,Agarwal & Agarwal Multispeciality Hospital,Single,PRIVATE,Private,2013,Uttar Pradesh,UP,Kanpur Nagar,Kanpur,Sarvodaya Nagar,263743,28.102027,78.335067,DR. ASHOK KUMAR,9629677652,hospital36@pvt.up.in,NABH,PRE,,False,240,225,True,True,True,True,True,True,False,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
d7935ac2-8820-4c6e-9ece-961b1da38c93,UPHOSPREF000037,Srivastava & Tiwari Surgical Centre,Single,PRIVATE,Trust,2013,Uttar Pradesh,UP,Pratapgarh,Prayagraj,Pratapgarh Block 6,258578,27.590611,79.336759,DR. RAJESH KUMAR,9521908228,hospital37@pvt.up.in,,,,False,262,247,True,True,True,True,True,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
b8e2b260-4f55-4d4e-9246-3cd376a42856,UPHOSPREF000038,Community Health Centre Amethi Block 8,Single,PUBLIC,PHC,1961,Uttar Pradesh,UP,Amethi,Ayodhya,Amethi Block 8,212280,25.17432,78.435922,DR. SANJAY KUMAR,7824247458,hospital38@gov.up.in,NABH,PRE,,False,279,233,False,True,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
b123c7ac-cb54-4042-ba26-b405b5c62baa,UPHOSPREF000039,Shakti Medical Centre,Single,PRIVATE,Trust,1992,Uttar Pradesh,UP,Muzaffarnagar,Saharanpur,Muzaffarnagar Block 1,248538,29.800707,83.85961,DR. SANTOSH KUMAR,7046967020,hospital39@pvt.up.in,JCI,PRE,2029-06-03,False,94,66,True,True,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
b026ca22-e993-4dd3-b76c-295589021af4,UPHOSPREF000040,District Hospital Banda,Single,PUBLIC,PHC,1967,Uttar Pradesh,UP,Banda,Chitrakoot,Banda Block 1,225651,24.678583,78.889437,DR. MANOJ KUMAR,7698383553,hospital40@gov.up.in,NABL,FULL,2028-02-25,False,60,54,True,False,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
0645da7f-f79d-4890-a1e0-a51a7a9cf6e7,UPHOSPREF000041,Dr. Tiwari Orthopaedic Centre,Single,PRIVATE,Trust,1993,Uttar Pradesh,UP,Baghpat,Meerut,Baghpat Block 2,248985,25.05928,78.171492,DR. HARI OM,9787961519,hospital41@pvt.up.in,,FULL,,False,178,147,True,True,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
2527c1b6-82d8-470e-9ca0-8e06deb23ed0,UPHOSPREF000042,Primary Health Centre Mirzapur Block 7,Single,PUBLIC,District Hospital,1993,Uttar Pradesh,UP,Mirzapur,Mirzapur,Mirzapur Block 7,220494,26.972557,83.897734,DR. ARVIND KUMAR,9554734703,hospital42@gov.up.in,JCI,PRE,2029-04-24,False,98,74,True,True,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
08fc1f3d-a6f1-4ea0-90e5-580a39dd2baf,UPHOSPREF000043,District Hospital Ambedkar Nagar,Single,PUBLIC,CHC,1968,Uttar Pradesh,UP,Ambedkar Nagar,Ayodhya,Ambedkar Block 1,214971,28.563708,77.492479,DR. RAKESH KUMAR,9436593980,hospital43@gov.up.in,JCI,PRE,2030-02-13,False,26,24,True,False,False,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
ced61793-a093-460c-b537-afcf03865341,UPHOSPREF000044,Dr. Tiwari Nursing Home,Single,PRIVATE,Private,2020,Uttar Pradesh,UP,Ballia,Azamgarh,Ballia Block 2,243305,24.607781,82.355393,DR. ANIL KUMAR KURMI,9572445243,hospital44@pvt.up.in,,PRE,2028-04-02,False,247,180,True,False,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
b715add2-8aa2-44b1-a656-5fd5923104bc,UPHOSPREF000045,Dr. Agarwal Hospital & Research Centre,Single,PRIVATE,Private,1990,Uttar Pradesh,UP,Amethi,Ayodhya,Amethi Block 1,200175,23.66737,78.321792,DR. ANIL KUMAR,7918668191,hospital45@pvt.up.in,JCI,PRE,,False,96,76,True,True,True,True,True,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
1671be92-42b2-455e-b48c-cbaf29a378cb,UPHOSPREF000046,Zonal Hospital Bareilly,Single,PUBLIC,Civil Hospital,1959,Uttar Pradesh,UP,Bareilly,Bareilly,Bahrabad,296732,27.896865,78.978784,DR. NARESH KUMAR,7077304285,hospital46@gov.up.in,NABL,PRE,,False,27,23,True,False,False,True,False,True,False,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
310c286a-875d-456f-b815-37edfb352216,UPHOSPREF000047,Urban Community Health Centre Ballia Block 2,Single,PUBLIC,CHC,1977,Uttar Pradesh,UP,Ballia,Azamgarh,Ballia Block 2,206091,23.912361,78.329748,DR. RAJU YADAV,9715370292,hospital47@gov.up.in,NABH,,,False,98,77,True,True,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
4dbc8e1d-62ce-4605-81f1-8497ff07e2f4,UPHOSPREF000048,District Hospital Ghaziabad,Single,PUBLIC,Medical College,1972,Uttar Pradesh,UP,Ghaziabad,Meerut,Loni,234391,25.50763,79.042953,DR. SURESH KUMAR,7610714943,hospital48@gov.up.in,NABH,PRE,2029-07-16,False,84,63,True,True,True,True,True,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
1c09b438-b333-46b6-bc80-2db6ea3cc378,UPHOSPREF000049,Primary Health Centre Bahraich Block 4,Single,PUBLIC,PHC,1971,Uttar Pradesh,UP,Bahraich,Devipatan,Bahraich Block 4,220198,28.732327,78.216627,DR. SANTOSH KUMAR,9732702032,hospital49@gov.up.in,JCI,,,False,134,96,True,False,True,True,False,True,False,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
37a7248b-0a18-4b56-b333-4f11d5643ec8,UPHOSPREF000050,Community Health Centre Chauri Chaura,Single,PUBLIC,District Hospital,1972,Uttar Pradesh,UP,Gorakhpur,Gorakhpur,Chauri Chaura,256376,24.660807,80.332765,DR. ARVIND KUMAR,7088568284,hospital50@gov.up.in,NABH,,,False,160,145,False,True,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
86a5dc96-32d0-4859-ae22-c8b3841132d4,UPHOSPREF000051,Combined Hospital Moradabad,Single,PUBLIC,District Hospital,1982,Uttar Pradesh,UP,Moradabad,Moradabad,Moradabad Block 1,292630,25.5318,82.765852,DR. VIVEK KUMAR,7852803079,hospital51@gov.up.in,NABL,PRE,,False,18,15,False,False,False,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
2b6476b1-abcf-4e12-a7ab-c43ea29f80ad,UPHOSPREF000052,Dr. Sharma Orthopaedic Centre,Single,PRIVATE,Trust,2018,Uttar Pradesh,UP,Kanpur Nagar,Kanpur,Kalyanpur,260397,24.619974,77.621339,DR. ANIL KUMAR,8133000558,hospital52@pvt.up.in,NABL,,,False,160,117,True,True,True,True,True,True,False,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
40cd2163-9c7f-4bd9-8a9d-7a5d870c2fc9,UPHOSPREF000053,Dr. Gupta Orthopaedic Centre,Single,PRIVATE,NGO,2020,Uttar Pradesh,UP,Lucknow,Lucknow,Gosainganj,264235,23.852501,80.831762,DR. RAKESH KUMAR,7087937348,hospital53@pvt.up.in,JCI,PRE,,False,193,158,True,False,True,True,False,True,False,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
eed44eec-432d-4fdb-860a-a82d9acee039,UPHOSPREF000054,Laxmi Children Hospital,Single,PRIVATE,Private,1999,Uttar Pradesh,UP,Etawah,Kanpur,Etawah Block 5,229511,29.337503,81.278239,DR. HEMANT KUMAR PATEL,7795141722,hospital54@pvt.up.in,NABL,,,False,141,126,False,False,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
af8efed9-e4cb-4d10-93f2-5771c0e8dfa5,UPHOSPREF000055,Urban Community Health Centre Gautam Block 3,Single,PUBLIC,Medical College,1958,Uttar Pradesh,UP,Gautam Buddha Nagar,Meerut,Gautam Block 3,233335,30.318041,81.184719,DR. LAKHAN LAL SHUKLA,8073953375,hospital55@gov.up.in,NABL,,,False,53,48,True,False,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
b16b2e13-7767-4898-b98d-289acf8aad62,UPHOSPREF000056,Dr. Pandey Hospital & Research Centre,Single,PRIVATE,NGO,2000,Uttar Pradesh,UP,Kasganj,Aligarh,Kasganj Block 5,289710,28.117768,82.00671,DR. HARI OM PATEL,7657824623,hospital56@pvt.up.in,JCI,,,False,97,70,False,True,True,True,True,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
b313cb2c-8092-45e6-a324-01f2adcba66b,UPHOSPREF000057,Durga Multispeciality Hospital,Single,PRIVATE,NGO,1993,Uttar Pradesh,UP,Deoria,Gorakhpur,Deoria Block 8,224940,23.904102,83.05481,DR. SUSHIL KUMAR,7997573187,hospital57@pvt.up.in,,FULL,,False,220,179,True,True,True,True,True,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
f6eb9bab-f267-4baf-a395-a2ce070960ef,UPHOSPREF000058,Ganesh Orthopaedic Centre,Single,PRIVATE,Private,2014,Uttar Pradesh,UP,Ghazipur,Varanasi,Ghazipur Block 2,288373,26.602785,80.984452,DR. DINESH KUMAR,9439710240,hospital58@pvt.up.in,NABL,PRE,,False,111,102,False,True,True,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
87d075c8-0a84-4cac-b249-a7d144a620b8,UPHOSPREF000059,Pandey & Verma Maternity & General Hospital,Single,PRIVATE,Private,1995,Uttar Pradesh,UP,Lakhimpur Kheri,Lucknow,Lakhimpur Block 8,246286,24.972734,82.20392,DR. DEVENDRA KUMAR,9521863640,hospital59@pvt.up.in,JCI,PRE,2027-03-16,False,163,148,True,True,True,True,True,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
4aa43dd6-19ca-4612-ad28-04e82c2e6585,UPHOSPREF000060,Sharma & Sharma Maternity & General Hospital,Single,PRIVATE,NGO,2006,Uttar Pradesh,UP,Meerut,Meerut,Parikshitgarh,222704,23.949305,80.328129,DR. SHIV KUMAR,9681613679,hospital60@pvt.up.in,NABH,FULL,,False,28,26,True,False,False,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
168f0e25-0776-4872-a1c1-5ba7491a3910,UPHOSPREF000061,Dr. Agarwal Orthopaedic Centre,Single,PRIVATE,NGO,1997,Uttar Pradesh,UP,Varanasi,Varanasi,Harhua,228825,26.963213,77.472128,DR. MUKESH KUMAR,9560034020,hospital61@pvt.up.in,NABH,FULL,,False,194,150,True,True,True,True,True,True,False,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
9aad09cb-c280-49cf-a789-776d88414bc0,UPHOSPREF000062,Women Hospital Barabanki,Single,PUBLIC,PHC,1983,Uttar Pradesh,UP,Barabanki,Ayodhya,Barabanki Block 6,231603,29.869247,81.664341,DR. VIJAY KUMAR,8040402994,hospital62@gov.up.in,NABL,,2030-04-17,False,20,17,False,False,False,True,False,True,True,2026-02-27T15:58:10+05:30,2026-02-27T15:58:10+05:30
