state_code,state_name,division_name,district_name,block_name
UP,Uttar Pradesh,Aligarh,Aligarh,Dhanipur
UP,Uttar Pradesh,Aligarh,Aligarh,Gabhana
UP,Uttar Pradesh,Aligarh,Aligarh,Gangiri
UP,Uttar Pradesh,Aligarh,Aligarh,Iglas
UP,Uttar Pradesh,Aligarh,Aligarh,Jawan
UP,Uttar Pradesh,Aligarh,Aligarh,Khair
UP,Uttar Pradesh,Aligarh,Aligarh,Tappal
UP,Uttar Pradesh,Aligarh,Etah,Etah Block 1
UP,Uttar Pradesh,Aligarh,Etah,Etah Block 2
UP,Uttar Pradesh,Aligarh,Etah,Etah Block 3
UP,Uttar Pradesh,Aligarh,Etah,Etah Block 4
UP,Uttar Pradesh,Aligarh,Etah,Etah Block 5
UP,Uttar Pradesh,Aligarh,Etah,Etah Block 6
UP,Uttar Pradesh,Aligarh,Etah,Etah Block 7
UP,Uttar Pradesh,Aligarh,Etah,Etah Block 8
UP,Uttar Pradesh,Aligarh,Hathras,Hathras Block 1
UP,Uttar Pradesh,Aligarh,Hathras,Hathras Block 2
UP,Uttar Pradesh,Aligarh,Hathras,Hathras Block 3
UP,Uttar Pradesh,Aligarh,Hathras,Hathras Block 4
UP,Uttar Pradesh,Aligarh,Hathras,Hathras Block 5
UP,Uttar Pradesh,Aligarh,Hathras,Hathras Block 6
UP,Uttar Pradesh,Aligarh,Hathras,Hathras Block 7
UP,Uttar Pradesh,Aligarh,Hathras,Hathras Block 8
UP,Uttar Pradesh,Aligarh,Kasganj,Kasganj Block 1
UP,Uttar Pradesh,Aligarh,Kasganj,Kasganj Block 2
UP,Uttar Pradesh,Aligarh,Kasganj,Kasganj Block 3
UP,Uttar Pradesh,Aligarh,Kasganj,Kasganj Block 4
UP,Uttar Pradesh,Aligarh,Kasganj,Kasganj Block 5
UP,Uttar Pradesh,Aligarh,Kasganj,Kasganj Block 6
UP,Uttar Pradesh,Aligarh,Kasganj,Kasganj Block 7
UP,Uttar Pradesh,Aligarh,Kasganj,Kasganj Block 8
UP,Uttar Pradesh,Ayodhya,Ambedkar Nagar,Ambedkar Block 1
UP,Uttar Pradesh,Ayodhya,Ambedkar Nagar,Ambedkar Block 2
UP,Uttar Pradesh,Ayodhya,Ambedkar Nagar,Ambedkar Block 3
UP,Uttar Pradesh,Ayodhya,Ambedkar Nagar,Ambedkar Block 4
UP,Uttar Pradesh,Ayodhya,Ambedkar Nagar,Ambedkar Block 5
UP,Uttar Pradesh,Ayodhya,Ambedkar Nagar,Ambedkar Block 6
UP,Uttar Pradesh,Ayodhya,Ambedkar Nagar,Ambedkar Block 7
UP,Uttar Pradesh,Ayodhya,Ambedkar Nagar,Ambedkar Block 8
UP,Uttar Pradesh,Ayodhya,Amethi,Amethi Block 1
UP,Uttar Pradesh,Ayodhya,Amethi,Amethi Block 2
UP,Uttar Pradesh,Ayodhya,Amethi,Amethi Block 3
UP,Uttar Pradesh,Ayodhya,Amethi,Amethi Block 4
UP,Uttar Pradesh,Ayodhya,Amethi,Amethi Block 5
UP,Uttar Pradesh,Ayodhya,Amethi,Amethi Block 6
UP,Uttar Pradesh,Ayodhya,Amethi,Amethi Block 7
UP,Uttar Pradesh,Ayodhya,Amethi,Amethi Block 8
UP,Uttar Pradesh,Ayodhya,Ayodhya,Ayodhya Block 1
UP,Uttar Pradesh,Ayodhya,Ayodhya,Ayodhya Block 2
UP,Uttar Pradesh,Ayodhya,Ayodhya,Ayodhya Block 3
UP,Uttar Pradesh,Ayodhya,Ayodhya,Ayodhya Block 4
UP,Uttar Pradesh,Ayodhya,Ayodhya,Ayodhya Block 5
UP,Uttar Pradesh,Ayodhya,Ayodhya,Ayodhya Block 6
UP,Uttar Pradesh,Ayodhya,Ayodhya,Ayodhya Block 7
UP,Uttar Pradesh,Ayodhya,Ayodhya,Ayodhya Block 8
UP,Uttar Pradesh,Ayodhya,Barabanki,Barabanki Block 1
UP,Uttar Pradesh,Ayodhya,Barabanki,Barabanki Block 2
UP,Uttar Pradesh,Ayodhya,Barabanki,Barabanki Block 3
UP,Uttar Pradesh,Ayodhya,Barabanki,Barabanki Block 4
UP,Uttar Pradesh,Ayodhya,Barabanki,Barabanki Block 5
UP,Uttar Pradesh,Ayodhya,Barabanki,Barabanki Block 6
UP,Uttar Pradesh,Ayodhya,Barabanki,Barabanki Block 7
UP,Uttar Pradesh,Ayodhya,Barabanki,Barabanki Block 8
UP,Uttar Pradesh,Ayodhya,Sultanpur,Sultanpur Block 1
UP,Uttar Pradesh,Ayodhya,Sultanpur,Sultanpur Block 2
UP,Uttar Pradesh,Ayodhya,Sultanpur,Sultanpur Block 3
UP,Uttar Pradesh,Ayodhya,Sultanpur,Sultanpur Block 4
UP,Uttar Pradesh,Ayodhya,Sultanpur,Sultanpur Block 5
UP,Uttar Pradesh,Ayodhya,Sultanpur,Sultanpur Block 6
UP,Uttar Pradesh,Ayodhya,Sultanpur,Sultanpur Block 7
UP,Uttar Pradesh,Ayodhya,Sultanpur,Sultanpur Block 8
UP,Uttar Pradesh,Azamgarh,Azamgarh,Ateha
UP,Uttar Pradesh,Azamgarh,Azamgarh,Azamgarh
UP,Uttar Pradesh,Azamgarh,Azamgarh,Bilariyaganj
UP,Uttar Pradesh,Azamgarh,Azamgarh,Jahanaganj
UP,Uttar Pradesh,Azamgarh,Azamgarh,Lalganj
UP,Uttar Pradesh,Azamgarh,Azamgarh,Mehnagar
UP,Uttar Pradesh,Azamgarh,Azamgarh,Mirzapur
UP,Uttar Pradesh,Azamgarh,Azamgarh,Paliya
UP,Uttar Pradesh,Azamgarh,Azamgarh,Phulpur
UP,Uttar Pradesh,Azamgarh,Ballia,Ballia Block 1
UP,Uttar Pradesh,Azamgarh,Ballia,Ballia Block 2
UP,Uttar Pradesh,Azamgarh,Ballia,Ballia Block 3
UP,Uttar Pradesh,Azamgarh,Ballia,Ballia Block 4
UP,Uttar Pradesh,Azamgarh,Ballia,Ballia Block 5
UP,Uttar Pradesh,Azamgarh,Ballia,Ballia Block 6
UP,Uttar Pradesh,Azamgarh,Ballia,Ballia Block 7
UP,Uttar Pradesh,Azamgarh,Ballia,Ballia Block 8
UP,Uttar Pradesh,Azamgarh,Mau,Mau Block 1
UP,Uttar Pradesh,Azamgarh,Mau,Mau Block 2
UP,Uttar Pradesh,Azamgarh,Mau,Mau Block 3
UP,Uttar Pradesh,Azamgarh,Mau,Mau Block 4
UP,Uttar Pradesh,Azamgarh,Mau,Mau Block 5
UP,Uttar Pradesh,Azamgarh,Mau,Mau Block 6
UP,Uttar Pradesh,Azamgarh,Mau,Mau Block 7
UP,Uttar Pradesh,Azamgarh,Mau,Mau Block 8
UP,Uttar Pradesh,Bareilly,Badaun,Badaun Block 1
UP,Uttar Pradesh,Bareilly,Badaun,Badaun Block 2
UP,Uttar Pradesh,Bareilly,Badaun,Badaun Block 3
UP,Uttar Pradesh,Bareilly,Badaun,Badaun Block 4
UP,Uttar Pradesh,Bareilly,Badaun,Badaun Block 5
UP,Uttar Pradesh,Bareilly,Badaun,Badaun Block 6
UP,Uttar Pradesh,Bareilly,Badaun,Badaun Block 7
UP,Uttar Pradesh,Bareilly,Badaun,Badaun Block 8
UP,Uttar Pradesh,Bareilly,Bareilly,Aonla
UP,Uttar Pradesh,Bareilly,Bareilly,Baheri
UP,Uttar Pradesh,Bareilly,Bareilly,Bahrabad
UP,Uttar Pradesh,Bareilly,Bareilly,Bithri Chainpur
UP,Uttar Pradesh,Bareilly,Bareilly,Clutterbuckganj
UP,Uttar Pradesh,Bareilly,Bareilly,Faridpur
UP,Uttar Pradesh,Bareilly,Bareilly,Fatehganj Pashchimi
UP,Uttar Pradesh,Bareilly,Bareilly,Fatehganj Purvi
UP,Uttar Pradesh,Bareilly,Bareilly,Firdauspur
UP,Uttar Pradesh,Bareilly,Bareilly,Meerganj
UP,Uttar Pradesh,Bareilly,Bareilly,Nawabganj
UP,Uttar Pradesh,Bareilly,Bareilly,Ramnagar
UP,Uttar Pradesh,Bareilly,Bareilly,Richha
UP,Uttar Pradesh,Bareilly,Bareilly,Shergarh
UP,Uttar Pradesh,Bareilly,Bareilly,Sirsa
UP,Uttar Pradesh,Bareilly,Pilibhit,Pilibhit Block 1
UP,Uttar Pradesh,Bareilly,Pilibhit,Pilibhit Block 2
UP,Uttar Pradesh,Bareilly,Pilibhit,Pilibhit Block 3
UP,Uttar Pradesh,Bareilly,Pilibhit,Pilibhit Block 4
UP,Uttar Pradesh,Bareilly,Pilibhit,Pilibhit Block 5
UP,Uttar Pradesh,Bareilly,Pilibhit,Pilibhit Block 6
UP,Uttar Pradesh,Bareilly,Pilibhit,Pilibhit Block 7
UP,Uttar Pradesh,Bareilly,Pilibhit,Pilibhit Block 8
UP,Uttar Pradesh,Bareilly,Shahjahanpur,Shahjahanpur Block 1
UP,Uttar Pradesh,Bareilly,Shahjahanpur,Shahjahanpur Block 2
UP,Uttar Pradesh,Bareilly,Shahjahanpur,Shahjahanpur Block 3
UP,Uttar Pradesh,Bareilly,Shahjahanpur,Shahjahanpur Block 4
UP,Uttar Pradesh,Bareilly,Shahjahanpur,Shahjahanpur Block 5
UP,Uttar Pradesh,Bareilly,Shahjahanpur,Shahjahanpur Block 6
UP,Uttar Pradesh,Bareilly,Shahjahanpur,Shahjahanpur Block 7
UP,Uttar Pradesh,Bareilly,Shahjahanpur,Shahjahanpur Block 8
UP,Uttar Pradesh,Basti,Basti,Basti Block 1
UP,Uttar Pradesh,Basti,Basti,Basti Block 2
UP,Uttar Pradesh,Basti,Basti,Basti Block 3
UP,Uttar Pradesh,Basti,Basti,Basti Block 4
UP,Uttar Pradesh,Basti,Basti,Basti Block 5
UP,Uttar Pradesh,Basti,Basti,Basti Block 6
UP,Uttar Pradesh,Basti,Basti,Basti Block 7
UP,Uttar Pradesh,Basti,Basti,Basti Block 8
UP,Uttar Pradesh,Basti,Sant Kabir Nagar,Sant Block 1
UP,Uttar Pradesh,Basti,Sant Kabir Nagar,Sant Block 2
UP,Uttar Pradesh,Basti,Sant Kabir Nagar,Sant Block 3
UP,Uttar Pradesh,Basti,Sant Kabir Nagar,Sant Block 4
UP,Uttar Pradesh,Basti,Sant Kabir Nagar,Sant Block 5
UP,Uttar Pradesh,Basti,Sant Kabir Nagar,Sant Block 6
UP,Uttar Pradesh,Basti,Sant Kabir Nagar,Sant Block 7
UP,Uttar Pradesh,Basti,Sant Kabir Nagar,Sant Block 8
UP,Uttar Pradesh,Basti,Siddharthnagar,Siddharthnagar Block 1
UP,Uttar Pradesh,Basti,Siddharthnagar,Siddharthnagar Block 2
UP,Uttar Pradesh,Basti,Siddharthnagar,Siddharthnagar Block 3
UP,Uttar Pradesh,Basti,Siddharthnagar,Siddharthnagar Block 4
UP,Uttar Pradesh,Basti,Siddharthnagar,Siddharthnagar Block 5
UP,Uttar Pradesh,Basti,Siddharthnagar,Siddharthnagar Block 6
UP,Uttar Pradesh,Basti,Siddharthnagar,Siddharthnagar Block 7
UP,Uttar Pradesh,Basti,Siddharthnagar,Siddharthnagar Block 8
UP,Uttar Pradesh,Chitrakoot,Banda,Banda Block 1
UP,Uttar Pradesh,Chitrakoot,Banda,Banda Block 2
UP,Uttar Pradesh,Chitrakoot,Banda,Banda Block 3
UP,Uttar Pradesh,Chitrakoot,Banda,Banda Block 4
UP,Uttar Pradesh,Chitrakoot,Banda,Banda Block 5
UP,Uttar Pradesh,Chitrakoot,Banda,Banda Block 6
UP,Uttar Pradesh,Chitrakoot,Banda,Banda Block 7
UP,Uttar Pradesh,Chitrakoot,Banda,Banda Block 8
UP,Uttar Pradesh,Chitrakoot,Chitrakoot,Chitrakoot Block 1
UP,Uttar Pradesh,Chitrakoot,Chitrakoot,Chitrakoot Block 2
UP,Uttar Pradesh,Chitrakoot,Chitrakoot,Chitrakoot Block 3
UP,Uttar Pradesh,Chitrakoot,Chitrakoot,Chitrakoot Block 4
UP,Uttar Pradesh,Chitrakoot,Chitrakoot,Chitrakoot Block 5
UP,Uttar Pradesh,Chitrakoot,Chitrakoot,Chitrakoot Block 6
UP,Uttar Pradesh,Chitrakoot,Chitrakoot,Chitrakoot Block 7
UP,Uttar Pradesh,Chitrakoot,Chitrakoot,Chitrakoot Block 8
UP,Uttar Pradesh,Chitrakoot,Hamirpur,Hamirpur Block 1
UP,Uttar Pradesh,Chitrakoot,Hamirpur,Hamirpur Block 2
UP,Uttar Pradesh,Chitrakoot,Hamirpur,Hamirpur Block 3
UP,Uttar Pradesh,Chitrakoot,Hamirpur,Hamirpur Block 4
UP,Uttar Pradesh,Chitrakoot,Hamirpur,Hamirpur Block 5
UP,Uttar Pradesh,Chitrakoot,Hamirpur,Hamirpur Block 6
UP,Uttar Pradesh,Chitrakoot,Hamirpur,Hamirpur Block 7
UP,Uttar Pradesh,Chitrakoot,Hamirpur,Hamirpur Block 8
UP,Uttar Pradesh,Chitrakoot,Mahoba,Mahoba Block 1
UP,Uttar Pradesh,Chitrakoot,Mahoba,Mahoba Block 2
UP,Uttar Pradesh,Chitrakoot,Mahoba,Mahoba Block 3
UP,Uttar Pradesh,Chitrakoot,Mahoba,Mahoba Block 4
UP,Uttar Pradesh,Chitrakoot,Mahoba,Mahoba Block 5
UP,Uttar Pradesh,Chitrakoot,Mahoba,Mahoba Block 6
UP,Uttar Pradesh,Chitrakoot,Mahoba,Mahoba Block 7
UP,Uttar Pradesh,Chitrakoot,Mahoba,Mahoba Block 8
UP,Uttar Pradesh,Devipatan,Bahraich,Bahraich Block 1
UP,Uttar Pradesh,Devipatan,Bahraich,Bahraich Block 2
UP,Uttar Pradesh,Devipatan,Bahraich,Bahraich Block 3
UP,Uttar Pradesh,Devipatan,Bahraich,Bahraich Block 4
UP,Uttar Pradesh,Devipatan,Bahraich,Bahraich Block 5
UP,Uttar Pradesh,Devipatan,Bahraich,Bahraich Block 6
UP,Uttar Pradesh,Devipatan,Bahraich,Bahraich Block 7
UP,Uttar Pradesh,Devipatan,Bahraich,Bahraich Block 8
UP,Uttar Pradesh,Devipatan,Balrampur,Balrampur Block 1
UP,Uttar Pradesh,Devipatan,Balrampur,Balrampur Block 2
UP,Uttar Pradesh,Devipatan,Balrampur,Balrampur Block 3
UP,Uttar Pradesh,Devipatan,Balrampur,Balrampur Block 4
UP,Uttar Pradesh,Devipatan,Balrampur,Balrampur Block 5
UP,Uttar Pradesh,Devipatan,Balrampur,Balrampur Block 6
UP,Uttar Pradesh,Devipatan,Balrampur,Balrampur Block 7
UP,Uttar Pradesh,Devipatan,Balrampur,Balrampur Block 8
UP,Uttar Pradesh,Devipatan,Gonda,Gonda Block 1
UP,Uttar Pradesh,Devipatan,Gonda,Gonda Block 2
UP,Uttar Pradesh,Devipatan,Gonda,Gonda Block 3
UP,Uttar Pradesh,Devipatan,Gonda,Gonda Block 4
UP,Uttar Pradesh,Devipatan,Gonda,Gonda Block 5
UP,Uttar Pradesh,Devipatan,Gonda,Gonda Block 6
UP,Uttar Pradesh,Devipatan,Gonda,Gonda Block 7
UP,Uttar Pradesh,Devipatan,Gonda,Gonda Block 8
UP,Uttar Pradesh,Devipatan,Shravasti,Shravasti Block 1
UP,Uttar Pradesh,Devipatan,Shravasti,Shravasti Block 2
UP,Uttar Pradesh,Devipatan,Shravasti,Shravasti Block 3
UP,Uttar Pradesh,Devipatan,Shravasti,Shravasti Block 4
UP,Uttar Pradesh,Devipatan,Shravasti,Shravasti Block 5
UP,Uttar Pradesh,Devipatan,Shravasti,Shravasti Block 6
UP,Uttar Pradesh,Devipatan,Shravasti,Shravasti Block 7
UP,Uttar Pradesh,Devipatan,Shravasti,Shravasti Block 8
UP,Uttar Pradesh,Gorakhpur,Deoria,Deoria Block 1
UP,Uttar Pradesh,Gorakhpur,Deoria,Deoria Block 2
UP,Uttar Pradesh,Gorakhpur,Deoria,Deoria Block 3
UP,Uttar Pradesh,Gorakhpur,Deoria,Deoria Block 4
UP,Uttar Pradesh,Gorakhpur,Deoria,Deoria Block 5
UP,Uttar Pradesh,Gorakhpur,Deoria,Deoria Block 6
UP,Uttar Pradesh,Gorakhpur,Deoria,Deoria Block 7
UP,Uttar Pradesh,Gorakhpur,Deoria,Deoria Block 8
UP,Uttar Pradesh,Gorakhpur,Gorakhpur,Bansgaon
UP,Uttar Pradesh,Gorakhpur,Gorakhpur,Bhathat
UP,Uttar Pradesh,Gorakhpur,Gorakhpur,Brahmpur
UP,Uttar Pradesh,Gorakhpur,Gorakhpur,Campierganj
UP,Uttar Pradesh,Gorakhpur,Gorakhpur,Chauri Chaura
UP,Uttar Pradesh,Gorakhpur,Gorakhpur,Chargawan
UP,Uttar Pradesh,Gorakhpur,Gorakhpur,Gagaha
UP,Uttar Pradesh,Gorakhpur,Gorakhpur,Gola
UP,Uttar Pradesh,Gorakhpur,Gorakhpur,Jungle Kaudiram
UP,Uttar Pradesh,Gorakhpur,Gorakhpur,Khajani
UP,Uttar Pradesh,Gorakhpur,Gorakhpur,Khorabar
UP,Uttar Pradesh,Gorakhpur,Gorakhpur,Pipraich
UP,Uttar Pradesh,Gorakhpur,Gorakhpur,Pipiganj
UP,Uttar Pradesh,Gorakhpur,Gorakhpur,Sahjanwa
UP,Uttar Pradesh,Gorakhpur,Gorakhpur,Sardarnagar
UP,Uttar Pradesh,Gorakhpur,Gorakhpur,Uruwa
UP,Uttar Pradesh,Gorakhpur,Kushinagar,Kushinagar Block 1
UP,Uttar Pradesh,Gorakhpur,Kushinagar,Kushinagar Block 2
UP,Uttar Pradesh,Gorakhpur,Kushinagar,Kushinagar Block 3
UP,Uttar Pradesh,Gorakhpur,Kushinagar,Kushinagar Block 4
UP,Uttar Pradesh,Gorakhpur,Kushinagar,Kushinagar Block 5
UP,Uttar Pradesh,Gorakhpur,Kushinagar,Kushinagar Block 6
UP,Uttar Pradesh,Gorakhpur,Kushinagar,Kushinagar Block 7
UP,Uttar Pradesh,Gorakhpur,Kushinagar,Kushinagar Block 8
UP,Uttar Pradesh,Gorakhpur,Maharajganj,Maharajganj Block 1
UP,Uttar Pradesh,Gorakhpur,Maharajganj,Maharajganj Block 2
UP,Uttar Pradesh,Gorakhpur,Maharajganj,Maharajganj Block 3
UP,Uttar Pradesh,Gorakhpur,Maharajganj,Maharajganj Block 4
UP,Uttar Pradesh,Gorakhpur,Maharajganj,Maharajganj Block 5
UP,Uttar Pradesh,Gorakhpur,Maharajganj,Maharajganj Block 6
UP,Uttar Pradesh,Gorakhpur,Maharajganj,Maharajganj Block 7
UP,Uttar Pradesh,Gorakhpur,Maharajganj,Maharajganj Block 8
UP,Uttar Pradesh,Jhansi,Jalaun,Jalaun Block 1
UP,Uttar Pradesh,Jhansi,Jalaun,Jalaun Block 2
UP,Uttar Pradesh,Jhansi,Jalaun,Jalaun Block 3
UP,Uttar Pradesh,Jhansi,Jalaun,Jalaun Block 4
UP,Uttar Pradesh,Jhansi,Jalaun,Jalaun Block 5
UP,Uttar Pradesh,Jhansi,Jalaun,Jalaun Block 6
UP,Uttar Pradesh,Jhansi,Jalaun,Jalaun Block 7
UP,Uttar Pradesh,Jhansi,Jalaun,Jalaun Block 8
UP,Uttar Pradesh,Jhansi,Jhansi,Babina
UP,Uttar Pradesh,Jhansi,Jhansi,Badagaon
UP,Uttar Pradesh,Jhansi,Jhansi,Bangra
UP,Uttar Pradesh,Jhansi,Jhansi,Barua Sagar
UP,Uttar Pradesh,Jhansi,Jhansi,Chirgaon
UP,Uttar Pradesh,Jhansi,Jhansi,Gursarai
UP,Uttar Pradesh,Jhansi,Jhansi,Mauranipur
UP,Uttar Pradesh,Jhansi,Jhansi,Moth
UP,Uttar Pradesh,Jhansi,Jhansi,Ranipur
UP,Uttar Pradesh,Jhansi,Lalitpur,Lalitpur Block 1
UP,Uttar Pradesh,Jhansi,Lalitpur,Lalitpur Block 2
UP,Uttar Pradesh,Jhansi,Lalitpur,Lalitpur Block 3
UP,Uttar Pradesh,Jhansi,Lalitpur,Lalitpur Block 4
UP,Uttar Pradesh,Jhansi,Lalitpur,Lalitpur Block 5
UP,Uttar Pradesh,Jhansi,Lalitpur,Lalitpur Block 6
UP,Uttar Pradesh,Jhansi,Lalitpur,Lalitpur Block 7
UP,Uttar Pradesh,Jhansi,Lalitpur,Lalitpur Block 8
UP,Uttar Pradesh,Kanpur,Auraiya,Auraiya Block 1
UP,Uttar Pradesh,Kanpur,Auraiya,Auraiya Block 2
UP,Uttar Pradesh,Kanpur,Auraiya,Auraiya Block 3
UP,Uttar Pradesh,Kanpur,Auraiya,Auraiya Block 4
UP,Uttar Pradesh,Kanpur,Auraiya,Auraiya Block 5
UP,Uttar Pradesh,Kanpur,Auraiya,Auraiya Block 6
UP,Uttar Pradesh,Kanpur,Auraiya,Auraiya Block 7
UP,Uttar Pradesh,Kanpur,Auraiya,Auraiya Block 8
UP,Uttar Pradesh,Kanpur,Etawah,Etawah Block 1
UP,Uttar Pradesh,Kanpur,Etawah,Etawah Block 2
UP,Uttar Pradesh,Kanpur,Etawah,Etawah Block 3
UP,Uttar Pradesh,Kanpur,Etawah,Etawah Block 4
UP,Uttar Pradesh,Kanpur,Etawah,Etawah Block 5
UP,Uttar Pradesh,Kanpur,Etawah,Etawah Block 6
UP,Uttar Pradesh,Kanpur,Etawah,Etawah Block 7
UP,Uttar Pradesh,Kanpur,Etawah,Etawah Block 8
UP,Uttar Pradesh,Kanpur,Farrukhabad,Farrukhabad Block 1
UP,Uttar Pradesh,Kanpur,Farrukhabad,Farrukhabad Block 2
UP,Uttar Pradesh,Kanpur,Farrukhabad,Farrukhabad Block 3
UP,Uttar Pradesh,Kanpur,Farrukhabad,Farrukhabad Block 4
UP,Uttar Pradesh,Kanpur,Farrukhabad,Farrukhabad Block 5
UP,Uttar Pradesh,Kanpur,Farrukhabad,Farrukhabad Block 6
UP,Uttar Pradesh,Kanpur,Farrukhabad,Farrukhabad Block 7
UP,Uttar Pradesh,Kanpur,Farrukhabad,Farrukhabad Block 8
UP,Uttar Pradesh,Kanpur,Kannauj,Kannauj Block 1
UP,Uttar Pradesh,Kanpur,Kannauj,Kannauj Block 2
UP,Uttar Pradesh,Kanpur,Kannauj,Kannauj Block 3
UP,Uttar Pradesh,Kanpur,Kannauj,Kannauj Block 4
UP,Uttar Pradesh,Kanpur,Kannauj,Kannauj Block 5
UP,Uttar Pradesh,Kanpur,Kannauj,Kannauj Block 6
UP,Uttar Pradesh,Kanpur,Kannauj,Kannauj Block 7
UP,Uttar Pradesh,Kanpur,Kannauj,Kannauj Block 8
UP,Uttar Pradesh,Kanpur,Kanpur Dehat,Kanpur Block 1
UP,Uttar Pradesh,Kanpur,Kanpur Dehat,Kanpur Block 2
UP,Uttar Pradesh,Kanpur,Kanpur Dehat,Kanpur Block 3
UP,Uttar Pradesh,Kanpur,Kanpur Dehat,Kanpur Block 4
UP,Uttar Pradesh,Kanpur,Kanpur Dehat,Kanpur Block 5
UP,Uttar Pradesh,Kanpur,Kanpur Dehat,Kanpur Block 6
UP,Uttar Pradesh,Kanpur,Kanpur Dehat,Kanpur Block 7
UP,Uttar Pradesh,Kanpur,Kanpur Dehat,Kanpur Block 8
UP,Uttar Pradesh,Kanpur,Kanpur Nagar,Bilhaur
UP,Uttar Pradesh,Kanpur,Kanpur Nagar,Bhitargaon
UP,Uttar Pradesh,Kanpur,Kanpur Nagar,Ghatampur
UP,Uttar Pradesh,Kanpur,Kanpur Nagar,Kalyanpur
UP,Uttar Pradesh,Kanpur,Kanpur Nagar,Mandhana
UP,Uttar Pradesh,Kanpur,Kanpur Nagar,Maharajpur
UP,Uttar Pradesh,Kanpur,Kanpur Nagar,Patara
UP,Uttar Pradesh,Kanpur,Kanpur Nagar,Rasulabad
UP,Uttar Pradesh,Kanpur,Kanpur Nagar,Sarbanandapur
UP,Uttar Pradesh,Kanpur,Kanpur Nagar,Sarvodaya Nagar
UP,Uttar Pradesh,Lucknow,Hardoi,Hardoi Block 1
UP,Uttar Pradesh,Lucknow,Hardoi,Hardoi Block 2
UP,Uttar Pradesh,Lucknow,Hardoi,Hardoi Block 3
UP,Uttar Pradesh,Lucknow,Hardoi,Hardoi Block 4
UP,Uttar Pradesh,Lucknow,Hardoi,Hardoi Block 5
UP,Uttar Pradesh,Lucknow,Hardoi,Hardoi Block 6
UP,Uttar Pradesh,Lucknow,Hardoi,Hardoi Block 7
UP,Uttar Pradesh,Lucknow,Hardoi,Hardoi Block 8
UP,Uttar Pradesh,Lucknow,Lucknow,Bakshi Ka Talab
UP,Uttar Pradesh,Lucknow,Lucknow,Chinhat
UP,Uttar Pradesh,Lucknow,Lucknow,Gosainganj
UP,Uttar Pradesh,Lucknow,Lucknow,Itaunja
UP,Uttar Pradesh,Lucknow,Lucknow,Kakori
UP,Uttar Pradesh,Lucknow,Lucknow,Malihabad
UP,Uttar Pradesh,Lucknow,Lucknow,Mohanlalganj
UP,Uttar Pradesh,Lucknow,Lucknow,Sarojini Nagar
UP,Uttar Pradesh,Lucknow,Lucknow,Sardar Nagar
UP,Uttar Pradesh,Lucknow,Lakhimpur Kheri,Lakhimpur Block 1
UP,Uttar Pradesh,Lucknow,Lakhimpur Kheri,Lakhimpur Block 2
